company_key,stability_score,region,rating,still_active,duration_days
urban quaters,12.9,rest_england,A,False,832
plasmotec,12.9,rest_england,A,True,566
azo network uk,12.9,rest_england,A,True,1041
littlemoor minimarket ltd t a green food and wine,12.9,rest_england,A,True,846
aiam limited t a ariana pharmacy,12.9,rest_england,A,True,1041
l g woodgate,12.9,rest_england,A,True,1041
bridge academy trust,12.9,rest_england,A,True,1041
gts services uk,12.9,rest_england,A,True,1041
j j service retail,12.9,rest_england,A,True,846
cordusio,12.9,rest_england,A,True,1041
response epr,12.9,rest_england,A,True,1041
mavens consulting,0.0,london,A,True,1041
queens lytham,12.9,rest_england,A,True,1041
canton discount,10.4,wales,A,True,747
chime social enterprise,12.9,rest_england,A,False,769
bengal foods,12.9,rest_england,A,True,747
grainflow operations,0.0,london,A,True,393
gnaw chocolate,12.9,rest_england,A,True,1041
aladdins cat ltd t a aladdins,12.9,rest_england,A,True,747
billesley manor hotel,12.9,rest_england,A,True,1041
time and space media,12.9,rest_england,A,True,1041
thurmaston dental practice,12.9,rest_england,A,True,1041
re boot care services,12.9,rest_england,A,True,846
blakesley convenience store,12.9,rest_england,A,True,935
oxford rf solutions,12.9,rest_england,A,True,846
aj impex,27.8,scotland,A,True,846
liberton medical group,27.8,scotland,A,True,935
meharunnisa,12.9,rest_england,A,True,846
blyth collinson interiors,0.0,london,A,True,272
aberdeen business,12.9,rest_england,A,True,935
bringo group,0.0,london,A,True,1041
barcode design,12.9,rest_england,A,True,1041
william drake,12.9,rest_england,A,True,935
studio zna,0.0,london,A,True,935
tate company architects,0.0,london,A,True,1041
adamson knight,0.0,london,A,True,1041
response informatics uk,12.9,rest_england,A,False,280
cutfield freeman,0.0,london,A,True,1041
bulkhaul,12.9,rest_england,A,True,1041
maybush stores,12.9,rest_england,A,True,747
mhr international uk,12.9,rest_england,A,True,1041
gonville and caius college,12.9,rest_england,A,True,1041
kamalamuthu arulprasandh t as a k food wine,12.9,rest_england,A,True,1041
mj logistics leicester,12.9,rest_england,A,True,1041
jasmine healthcare,12.9,rest_england,A,True,1041
wso2 uk,0.0,london,A,True,1041
eastern airways uk,12.9,rest_england,A,False,832
thornton day nursery,12.9,rest_england,A,True,1041
bms heavy cranes uk,12.9,rest_england,A,True,1041
rivia property management,12.9,rest_england,A,True,846
elysian claims,12.9,rest_england,A,True,566
clubcom international,0.0,london,A,True,1
scx special projects,12.9,rest_england,A,True,1041
primacare surgeries,12.9,rest_england,A,True,1041
wysepower,12.9,rest_england,A,False,1
one sightsolutions,12.9,rest_england,A,True,467
micasa property services limited t a micasa,12.9,rest_england,A,True,1041
acupay system llc,0.0,london,A,False,648
sj inventure,12.9,rest_england,A,True,1041
anmore,12.9,rest_england,A,True,272
fortblane ltd t a mr singh s india gate,12.9,rest_england,A,False,195
triple d nursing homecare,12.9,rest_england,A,False,195
novnat tech,12.9,rest_england,A,True,467
bagi convenience uk,12.9,rest_england,A,True,209
insight britain,12.9,rest_england,A,False,726
apple pharmacy,27.8,scotland,A,True,467
hd desserts limited t a heavenly desserts,12.9,rest_england,A,False,832
weld it southall,12.9,rest_england,A,True,935
nuvven,27.8,scotland,A,True,1041
skolaz educational services,12.9,rest_england,A,True,1
clc contractors,12.9,rest_england,A,True,566
charlotte s cloud,0.0,london,A,True,747
westgate healthcare aylesbury,12.9,rest_england,A,True,1041
trutify,12.9,rest_england,A,False,1
marston holdings,12.9,rest_england,A,True,1041
within design,0.0,london,A,True,1041
waystone compliance solutions uk,12.9,rest_england,A,True,1041
stena drilling,27.8,scotland,A,True,1041
e j oriental supermarket,12.9,rest_england,A,True,846
mmgy global uk holding,0.0,london,A,True,935
360 brand group,12.9,rest_england,A,True,846
fenwick healthcare staffing,0.0,london,A,False,538
hard rock cafe edinburgh,0.0,london,A,True,1041
i stools,12.9,rest_england,A,True,846
explicit care solutions,0.0,london,A,False,648
bostico international,12.9,rest_england,A,True,1041
avione saving investment,12.9,rest_england,A,True,1041
grovebridge group,0.0,london,A,False,1
buildots uk,12.9,rest_england,A,True,1041
phone direct,12.9,rest_england,A,True,747
pegasus planning group,0.0,london,A,True,1041
kois uk,0.0,london,A,True,1041
